,Explanation of URL,経済産業省による布マスクの洗い方動画,"A movie how to wash cloth mask by the Ministry of Economy, Trade and Industry, Japan"
,URL,https://www.meti.go.jp/press/2019/03/20200319009/20200319009.html,https://www.meti.go.jp/press/2019/03/20200319009/20200319009.html
Links (リンク集),Explanation of the content,新型コロナウィルス関連のリンク集,They are the links about information of COVID-19.
,Explanation about the URL,WHOによる特設サイト,Information from WHO
,URL,https://www.who.int/emergencies/diseases/novel-coronavirus-2019,https://www.who.int/emergencies/diseases/novel-coronavirus-2019
,Explanation about the URL,一般財団法人自治体国際化協会(クレア)が運営するウェブサイト。多言語での情報が掲載されている。,Information about COVID-19 by multi-language.
,URL,http://www.clair.or.jp/tabunka/portal/info/contents/114517.php,http://www.clair.or.jp/tabunka/portal/info/contents/114517.php
,Explanation about the URL,一般の方向けの厚生労働省によるQ&A,"Q and A by the Ministry of Health, Labour and Welfare, Japan"
,URL,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/dengue_fever_qa_00001.html,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/dengue_fever_qa_00014.html
,Explanation about the URL,株式会社情報センター出版局による新型コロナウィルス対応 指さし会話(13か国語対応),handy point-and-speak guides for dealing with Coronavirus-related scenarios
,URL,https://www.yubisashi.com/PDF/yubisashi_covid19.pdf,https://www.yubisashi.com/PDF/yubisashi_covid19.pdf
,Explanation about the URL,日本の有志医療者による医療情報のまとめ,Website about COVID-12 by medical specialists
,URL,https://covid19-jpn.com/forcitizen/,https://covid19-jpn.com/forcitizen/
,Explanation about the URL,公衆衛生学と疫学を専門とする神戸大学中澤港教授によるリンク集,"Website by Dr. Minato Nakazawa, Kobe University who specializes in Public Health and Epidemiology."
,URL,http://minato.sip21c.org/2019-nCoV-im3r.html,http://minato.sip21c.org/2019-nCoV-im3r.html
Contact,Email,chihiro.tsuchiya227@gmail.com,chihiro.tsuchiya227@gmail.com
