都道府県,Prefecture,センター名,Center Name,"Phone number
電話番号","Supported Languages
対応言語","Open Hours
対応時間","Homepage
ホームページ",For what?,Connect to Hotlines
大阪府,Osaka,"大阪府国際交流財団 (OFIX) 
企画推進課 大阪府外国人情報コーナー","Osaka Foundation of International Exchange, Planning and Promotion Group",06-6941-2297,"English, Chinese, Korean, Portuguese, Spanish, Vietnamese, Tagalog, Thai, Indonesian, Nepali","Monday, Friday 9:00-20:00
Tuesday-Thrusday 9:00-17:30
Sunday (2nd and 4th of the month) 13:00-17:00",https://www.ofix.or.jp/life/index.html,Any topic,〇
大阪府,Osaka,AMDA国際医療情報センター,Multilingual Consultation Service Regarding COVID19,03-6233-9266,"Monday: English, Korean, Tagalog
Tuesday: English, Chinese, Thai
Wednesday: English, Spanish, Vietnamese
Thursday: English, Chinese
Friday: English, Portuguese","Weekdays 10:00-17:00
Weekends 10:00-15:00",https://www.amdamedicalcenter.com/news,"Anxiety, Health, Money, Work",
大阪府,Osaka,AMDA国際医療情報センター,Multilingual Consultation Service Regarding COVID19,090-3359-8324,"English, Chinese",Weekdays 10:00-17:00,https://www.amdamedicalcenter.com/news,"Anxiety, Health, Money, Work",
兵庫県,Hyogo,"兵庫県国際交流協会
ひょうご多文化共生総合相談センター",Hyogo International Association,078-382-2052,"English, Chinese, Spanish, Portuguese
Vietnamese, Korean, Tagalog, Indonesian, Thai, Nepali (provided by outside interpreter)",Weekdays 9:00-17:00,https://www.hyogo-ip.or.jp/shisetsuannai/infocenter/index.html,Any topic,〇
兵庫県,Hyogo,NGO 神戸外国人救援ネット,NGO Network for Foreigners' Assistance KOBE,078-232-1290,"Friday 10:00-20:00: Tagalog, Spanish, English
Friday 13:00-20:00: Portuguese
Weekends: Japanese, English, Chinese, Spanish, Vietnamese
Weeknds: Korean, Tagalog, Indonesian, Thai, Nepali (provided by outside interpreter)
Sundays in May 10:00-15:00: Arabic","Friday 10:00-20:00
Weekends 9:00-17:00",http://gqnet.webcrow.jp/,Any topic,×
兵庫県,Hyogo,AMDA国際医療情報センター,Multilingual Consultation Service Regarding COVID19,03-6233-9266,"Monday: English, Korean, Tagalog
Tuesday: English, Chinese, Thai
Wednesday: English, Spanish, Vietnamese
Thursday: English, Chinese
Friday: English, Portuguese","Weekdays 10:00-17:00
Weekends 10:00-15:00",https://www.amdamedicalcenter.com/news,"Anxiety, Health, Money, Work",
兵庫県,Hyogo,AMDA国際医療情報センター,Multilingual Consultation Service Regarding COVID19,090-3359-8324,"English, Chinese",Weekdays 10:00-17:00,https://www.amdamedicalcenter.com/news,"Anxiety, Health, Money, Work",
奈良県,Nara,AMDA国際医療情報センター,Multilingual Consultation Service Regarding COVID19,03-6233-9266,"Monday: English, Korean, Tagalog
Tuesday: English, Chinese, Thai
Wednesday: English, Spanish, Vietnamese
Thursday: English, Chinese
Friday: English, Portuguese","Weekdays 10:00-17:00
Weekends 10:00-15:00",https://www.amdamedicalcenter.com/news,"Anxiety, Health, Money, Work",
奈良県,Nara,AMDA国際医療情報センター,Multilingual Consultation Service Regarding COVID19,090-3359-8324,"English, Chinese",Weekdays 10:00-17:00,https://www.amdamedicalcenter.com/news,"Anxiety, Health, Money, Work",
和歌山県,Wakayama,"和歌山県国際交流センター
相談カウンター",Wakayama International Exchange Association,073-435-5240,"Every day except Wednesday 10:00-17:00: Japanese, English, Chinese
Monday, Thursday, Saturday 10:00-16:00: Tagalog, Vietnamese",Every day except Wednesday 10:00-17:00,https://wak-kokusai.jp/en/sisetu/soudan/,Any topic,
和歌山県,Wakayama,AMDA国際医療情報センター,Multilingual Consultation Service Regarding COVID19,03-6233-9266,"Monday: English, Korean, Tagalog
Tuesday: English, Chinese, Thai
Wednesday: English, Spanish, Vietnamese
Thursday: English, Chinese
Friday: English, Portuguese","Weekdays 10:00-17:00
Weekends 10:00-15:00",https://www.amdamedicalcenter.com/news,"Anxiety, Health, Money, Work",
和歌山県,Wakayama,AMDA国際医療情報センター,Multilingual Consultation Service Regarding COVID19,090-3359-8324,"English, Chinese",Weekdays 10:00-17:00,https://www.amdamedicalcenter.com/news,"Anxiety, Health, Money, Work",
島根県,Shimane,"しまね国際センター
ワンストップセンター",Shimane International Center,070-3774-9329,"English, Chinese, Korean, Vietnamese, Nepali, Indonesian, Tagalog, Thai, Portuguese, Spanish, Myanmarese, Khmer, Russian, French
※Interpretation service can be requested with ""Tsuyaku onegaishimasu ○○-go desu.""","Every day 9:00-19:00 (Until May 31st)

Weekdays 9:00-17:00 (Usually)",https://www.sic-info.org/support/consultation/onestopcenter_shimane/,Any topic,〇
島根県,Shimane,AMDA国際医療情報センター,Multilingual Consultation Service Regarding COVID19,03-6233-9266,"Monday: English, Korean, Tagalog
Tuesday: English, Chinese, Thai
Wednesday: English, Spanish, Vietnamese
Thursday: English, Chinese
Friday: English, Portuguese","Weekdays 10:00-17:00
Weekends 10:00-15:00",https://www.amdamedicalcenter.com/news,"Anxiety, Health, Money, Work",
島根県,Shimane,AMDA国際医療情報センター,Multilingual Consultation Service Regarding COVID19,090-3359-8324,"English, Chinese",Weekdays 10:00-17:00,https://www.amdamedicalcenter.com/news,"Anxiety, Health, Money, Work",
岡山県,Okayama,"岡山県国際交流協会
岡山県外国人相談センター",Okayama International Support Center,086-256-6052,"Japanese, English, Chinese, Portuguese, Vietnamese, Tagalog, Spanish, Thai , Indonesian, Nepali and others",Monday-Saturday 9:00-17:00,http://www.opief.or.jp/consulting/,Any topic,〇
岡山県,Okayama,AMDA国際医療情報センター,Multilingual Consultation Service Regarding COVID19,03-6233-9266,"Monday: English, Korean, Tagalog
Tuesday: English, Chinese, Thai
Wednesday: English, Spanish, Vietnamese
Thursday: English, Chinese
Friday: English, Portuguese","Weekdays 10:00-17:00
Weekends 10:00-15:00",https://www.amdamedicalcenter.com/news,"Anxiety, Health, Money, Work",
岡山県,Okayama,AMDA国際医療情報センター,Multilingual Consultation Service Regarding COVID19,090-3359-8324,"English, Chinese",Weekdays 10:00-17:00,https://www.amdamedicalcenter.com/news,"Anxiety, Health, Money, Work",
