都道府県,Prefecture,センター名,Center Name,"Phone number
電話番号","Supported Languages
対応言語","Open Hours
対応時間","Postal code
郵便番号","Address
住所","Homepage
ホームページ","Comments
コメント"
愛知県,Aichi,多言語コールセンター,Aichi Multilingual Call Center,https://aichi.livecall.jp/en/ipCC/,"English, Chinese, Korean, Thai, Vietnamese, Tagalog, Spanish, Portuguese, French",Every day 24 hours,460-8501,名古屋市中区三の丸三丁目1番2号,https://www.aichi-now.jp/en/news/detail/779/,
愛知県,Aichi,訪日外国人旅行者向けコールセンター,Multilingual Tourist Hotline,050-3816-2787,"English, Chinese, Korean, Japanese",Every day 24 hours,,,https://www.mlit.go.jp/kankocho/content/001327108.pdf,
三重県,Mie,訪日外国人旅行者向けコールセンター,Multilingual Tourist Hotline,050-3816-2787,"English, Chinese, Korean, Japanese",Every day 24 hours,514-8570,津市広明町13番地,https://www.mlit.go.jp/kankocho/content/001327108.pdf,
滋賀県,Shiga,訪日外国人旅行者向けコールセンター,Multilingual Tourist Hotline,050-3816-2787,"English, Chinese, Korean, Japanese",Every day 24 hours,520-8577,滋賀県大津市京町四丁目1番1号,https://www.mlit.go.jp/kankocho/content/001327108.pdf,
京都府,Kyoto,多言語コールセンター,Prefectural Consultation Service,075-414-4726,"English, Chinese, Korean, Portuguese, Spanish, Vietnamese",Every day 24 hours,602-8570,京都市上京区下立売通新町西入薮ノ内町,http://www.pref.kyoto.jp/kokusai/coronavirus_update.html,
京都府,Kyoto,訪日外国人旅行者向けコールセンター,Multilingual Tourist Hotline,050-3816-2787,"English, Chinese, Korean, Japanese",Every day 24 hours,,,https://www.mlit.go.jp/kankocho/content/001327108.pdf,
大阪府,Osaka,府内在住外国人向け相談窓口,Prefectural Consultation Service,06-6941-2297,"English, Chinese, Korean, Portuguese, Spanish, Vietnamese, Tagalog, Thai, Indonesia, Nepali, Japanese","Monday and Friday 9:00-20:00
Tuesday, Wednesday, Thursday 9:00-17:30",540-8570,大阪市中央区大手前2丁目,http://www.pref.osaka.lg.jp/kanko/coronavirus/index.html,
大阪府,Osaka,訪日外国人旅行者向けコールセンター,Multilingual Tourist Hotline,050-3816-2787,"English, Chinese, Korean, Japanese",Every day 24 hours,,,https://www.mlit.go.jp/kankocho/content/001327108.pdf,
兵庫県,Hyogo,訪日外国人旅行者向けコールセンター,Multilingual Tourist Hotline,050-3816-2787,"English, Chinese, Korean, Japanese",Every day 24 hours,650-8567,兵庫県神戸市中央区下山手通5丁目10番1号,https://www.mlit.go.jp/kankocho/content/001327108.pdf,
奈良県,Nara,訪日外国人旅行者向けコールセンター,Multilingual Tourist Hotline,050-3816-2787,"English, Chinese, Korean, Japanese",Every day 24 hours,630-8501,奈良市登大路町30,http://www.pref.nara.jp/secure/222718/0402eiglish.pdf,
和歌山県,Wakayama,訪日外国人旅行者向けコールセンター,Multilingual Tourist Hotline,050-3816-2787,"English, Chinese, Korean, Japanese",Every day 24 hours,640-8585,和歌山市小松原通一丁目1番地,https://www.mlit.go.jp/kankocho/content/001327108.pdf,
鳥取県,Tottori,訪日外国人旅行者向けコールセンター,Multilingual Tourist Hotline,050-3816-2787,"English, Chinese, Korean, Japanese",Every day 24 hours,680-8570,鳥取県鳥取市東町1丁目220,https://www.mlit.go.jp/kankocho/content/001327108.pdf,
島根県,Shimane,訪日外国人旅行者向けコールセンター,Multilingual Tourist Hotline,050-3816-2787,"English, Chinese, Korean, Japanese",Every day 24 hours,690-8501,島根県松江市殿町1番地,https://www.mlit.go.jp/kankocho/content/001327108.pdf,
岡山県,Okayama,訪日外国人旅行者向けコールセンター,Multilingual Tourist Hotline,050-3816-2787,"English, Chinese, Korean, Japanese",Every day 24 hours,700-8570,岡山市北区内山下二丁目4番6号,https://www.mlit.go.jp/kankocho/content/001327108.pdf,
広島県,Hiroshima,訪日外国人旅行者向けコールセンター,Multilingual Tourist Hotline,050-3816-2787,"English, Chinese, Korean, Japanese",Every day 24 hours,730-8511,広島県広島市中区基町10-52,https://www.mlit.go.jp/kankocho/content/001327108.pdf,
山口県,Yamaguchi,柳井健康福祉センター,Yanai Health and Welfare Center,0820-22-3631,"Japanese, English, Chinese",Weekdays 9:00-17:00,753-8501,山口県山口市滝町1番1号,https://www.pref.yamaguchi.lg.jp/cmsdata/7/4/7/747e45223896b7978bada9921f431e48.pdf,
山口県,Yamaguchi,周南健康福祉センター,Shunan Health and Welfare Center,0834-33-6423,"Japanese, English, Chinese",Weekdays 9:00-17:00,753-8502,山口県山口市滝町1番1号,https://www.pref.yamaguchi.lg.jp/cmsdata/7/4/7/747e45223896b7978bada9921f431e48.pdf,
山口県,Yamaguchi,山口健康福祉センター,Yamaguchi Health Center,083-934-2533,"Japanese, English, Chinese",Weekdays 9:00-17:00,753-8503,山口県山口市滝町1番1号,https://www.pref.yamaguchi.lg.jp/cmsdata/7/4/7/747e45223896b7978bada9921f431e48.pdf,
山口県,Yamaguchi,山口健康福祉センター,Yamaguchi Health and Welfare Center,083-934-2533,"Japanese, English, Chinese",Weekdays 9:00-17:00,753-8504,山口県山口市滝町1番1号,https://www.pref.yamaguchi.lg.jp/cmsdata/7/4/7/747e45223896b7978bada9921f431e48.pdf,
山口県,Yamaguchi,山口健康福祉センター 防府支所,Yamaguchi Health and Welfare Center Hofu Branch,0835-22-3740,"Japanese, English, Chinese",Weekdays 9:00-17:00,753-8505,山口県山口市滝町1番1号,https://www.pref.yamaguchi.lg.jp/cmsdata/7/4/7/747e45223896b7978bada9921f431e48.pdf,
山口県,Yamaguchi,宇部健康福祉センター,Ube Health and Welfare Center,0836-31-3203,"Japanese, English, Chinese",Weekdays 9:00-17:00,753-8506,山口県山口市滝町1番1号,https://www.pref.yamaguchi.lg.jp/cmsdata/7/4/7/747e45223896b7978bada9921f431e48.pdf,
山口県,Yamaguchi,長門健康福祉センター,Nagato Health and Welfare Center,0837-22-2811,"Japanese, English, Chinese",Weekdays 9:00-17:00,753-8507,山口県山口市滝町1番1号,https://www.pref.yamaguchi.lg.jp/cmsdata/7/4/7/747e45223896b7978bada9921f431e48.pdf,
山口県,Yamaguchi,萩健康福祉センター,Hagi Health and Welfare Center,0838-25-2667,"Japanese, English, Chinese",Weekdays 9:00-17:00,753-8508,山口県山口市滝町1番1号,https://www.pref.yamaguchi.lg.jp/cmsdata/7/4/7/747e45223896b7978bada9921f431e48.pdf,
山口県,Yamaguchi,下関市立下関保健所,Shimonoseki City Shimonoseki Public Health Center,083-250-7778,"Japanese, English, Chinese","Weekends, Holidays 9:00-17:00",753-8509,山口県山口市滝町1番1号,https://www.pref.yamaguchi.lg.jp/cmsdata/7/4/7/747e45223896b7978bada9921f431e48.pdf,
山口県,Yamaguchi,保健所健康増進課,Prefectural Health Promotion Division,083-933-3502,"Japanese, English, Chinese","Weekends, Holidays 9:00-17:00",753-8510,山口県山口市滝町1番1号,https://www.pref.yamaguchi.lg.jp/cmsdata/7/4/7/747e45223896b7978bada9921f431e48.pdf,
山口県,Yamaguchi,訪日外国人旅行者向けコールセンター,Multilingual Tourist Hotline,050-3816-2787,"English, Chinese, Korean, Japanese",Every day 24 hours,,,https://www.mlit.go.jp/kankocho/content/001327108.pdf,
徳島県,Tokushima,訪日外国人旅行者向けコールセンター,Multilingual Tourist Hotline,050-3816-2787,"English, Chinese, Korean, Japanese",Every day 24 hours,770-8570,徳島県徳島市万代町1丁目1番地,https://www.mlit.go.jp/kankocho/content/001327108.pdf,
香川県,Kagawa,訪日外国人旅行者向けコールセンター,Multilingual Tourist Hotline,050-3816-2787,"English, Chinese, Korean, Japanese",Every day 24 hours,760-8570,香川県高松市番町四丁目1番10号,https://www.mlit.go.jp/kankocho/content/001327108.pdf,
愛媛県,Ehime,外国人相談窓口,Prefectural Consultation Service,089-909-3483,"English, Japanese",Every day 24 hours,790-8570,松山市一番町4-4-2,http://www.epic.or.jp/news_and_topics/wp-content/uploads/2020/03/Information-Regarding-the-new-strain-of-Coronavirus_0203010.pdf,
愛媛県,Ehime,訪日外国人旅行者向けコールセンター,Multilingual Tourist Hotline,050-3816-2787,"English, Chinese, Korean, Japanese",Every day 24 hours,,,https://www.mlit.go.jp/kankocho/content/001327108.pdf,
高知県,Kochi,訪日外国人旅行者向けコールセンター,Multilingual Tourist Hotline,050-3816-2787,"English, Chinese, Korean, Japanese",Every day 24 hours,780-8570,高知県高知市丸ノ内1丁目2番20号,https://www.mlit.go.jp/kankocho/content/001327108.pdf,
福岡県,Fukuoka,訪日外国人旅行者向けコールセンター,Multilingual Tourist Hotline,050-3816-2787,"English, Chinese, Korean, Japanese",Every day 24 hours,812-8577,福岡県福岡市博多区東公園7番7号,https://www.mlit.go.jp/kankocho/content/001327108.pdf,
佐賀県,Saga,佐賀県外国人相談窓口,Multilingual Tourist Hotline,092-687-5535,"English, Chinese, Korean, Vietnames, Tagalog, Portuguese, Spanish, Nepali, Thai, Sinhala, Tamil, Indonesia, French, Russian, Italy, German",Every day 24 hours,840-8570,佐賀市城内1丁目1-59,https://www.pref.saga.lg.jp/kiji00373208/3_73208_161422_up_lz11xxsz.pdf,
佐賀県,Saga,訪日外国人旅行者向けコールセンター,Multilingual Tourist Hotline,050-3816-2787,"English, Chinese, Korean, Japanese",Every day 24 hours,,,https://www.mlit.go.jp/kankocho/content/001327108.pdf,
長崎県,Nagasaki,長崎県外国人相談窓口,Prefectural Consultation Service,095-820-3377,"English, Chinese, Korean, Vietnames, Tagalog, Portuguese, Spanish, Nepali, Thai, Sinhala, Tamil, Indonesia, French, Russian, Italy, German",Monday-Saturday 9:00-17:00,850-8570,長崎市尾上町3-1,https://www.pref.nagasaki.jp/bunrui/hukushi-hoken/kansensho/corona_nagasaki/corona_nagasaki_shousai/#gaikokugo,
長崎県,Nagasaki,訪日外国人旅行者向けコールセンター,Multilingual Tourist Hotline,050-3816-2787,"English, Chinese, Korean, Japanese",Every day 24 hours,,,https://www.mlit.go.jp/kankocho/content/001327108.pdf,
熊本県,Kumamoto,訪日外国人旅行者向けコールセンター,Multilingual Tourist Hotline,050-3816-2787,"English, Chinese, Korean, Japanese",Every day 24 hours,862-8570,熊本県熊本市中央区水前寺6丁目18番1号,http://www.kuma-koku.jp/support-center/page156.html?type=top,
大分県,Oita,訪日外国人旅行者向けコールセンター,Multilingual Tourist Hotline,050-3816-2787,"English, Chinese, Korean, Japanese",Every day 24 hours,870-8501,大分市大手町3丁目1-1,https://www.mlit.go.jp/kankocho/content/001327108.pdf,
宮崎県,Miyazaki,訪日外国人旅行者向けコールセンター,Multilingual Tourist Hotline,050-3816-2787,"English, Chinese, Korean, Japanese",Every day 24 hours,880-8501,宮崎県宮崎市橘通東2丁目10番1号,https://www.mlit.go.jp/kankocho/content/001327108.pdf,
鹿児島県,Kagoshima,外国人相談窓口,Prefectural Consultation Service,070-7662-4541,"English, Vietnamese, Japanese",Tuesday-Sunday 9:00-17:00,892-8677,鹿児島市山下町11番1号,https://www.pref.kagoshima.jp/af21/soudan.html,
鹿児島県,Kagoshima,訪日外国人旅行者向けコールセンター,Multilingual Tourist Hotline,050-3816-2787,"English, Chinese, Korean, Japanese",Every day 24 hours,,,https://www.mlit.go.jp/kankocho/content/001327108.pdf,
沖縄県,Okinawa,訪日外国人旅行者向けコールセンター,Multilingual Tourist Hotline,050-3816-2787,"English, Chinese, Korean, Japanese",Every day 24 hours,900-8585,沖縄県那覇市泉崎1丁目1番1号,https://www.mlit.go.jp/kankocho/content/001327108.pdf,
北海道,Hokkaido,札幌市保健所,Sapporo Shi Hokenjo,011-272-7119,Japanese,Every day 24 hours,060-0042,北海道札幌市中央区大通西19丁目,http://www.pref.hokkaido.lg.jp/hf/kth/kak/singatakoronahaien.htm#相談窓口,
北海道,Hokkaido,旭川市保健所,Asahikawa Shi Hokenjo,0166-25-9848,Japanese,Every day 8:45-21:00,060-8589,札幌市中央区北3条西6丁目,http://www.pref.hokkaido.lg.jp/hf/kth/kak/singatakoronahaien.htm#相談窓口,
北海道,Hokkaido,市立函館保健所,Shiritsu Hakodate Hokenjo,0138-32-1547,Japanese,"Weekdays 8:45-20:00
Saturday 8:45-17:30",060-8590,札幌市中央区北3条西6丁目,http://www.pref.hokkaido.lg.jp/hf/kth/kak/singatakoronahaien.htm#相談窓口,
北海道,Hokkaido,小樽市保健所,Otaru Shi Hokenjo,0134-22-3110,Japanese,Weekdays 8:50-17:20,060-8591,札幌市中央区北3条西6丁目,http://www.pref.hokkaido.lg.jp/hf/kth/kak/singatakoronahaien.htm#相談窓口,
北海道,Hokkaido,渡島保健所,Oshima Hokenjo,0138-47-9548,Japanese,Weekdays 8:45-17:30,060-8592,札幌市中央区北3条西6丁目,http://www.pref.hokkaido.lg.jp/hf/kth/kak/singatakoronahaien.htm#相談窓口,
北海道,Hokkaido,八雲保健所,Yakumo Hokenjo,0137-63-2168,Japanese,Weekdays 8:45-17:30,060-8593,札幌市中央区北3条西6丁目,http://www.pref.hokkaido.lg.jp/hf/kth/kak/singatakoronahaien.htm#相談窓口,
北海道,Hokkaido,今金支所,Imagane Shisho,0137-82-0251,Japanese,Weekdays 8:45-17:30,060-8594,札幌市中央区北3条西6丁目,http://www.pref.hokkaido.lg.jp/hf/kth/kak/singatakoronahaien.htm#相談窓口,
北海道,Hokkaido,江差保健所,Esashi Hokenjo,0139-52-1053,Japanese,Weekdays 8:45-17:30,060-8594,札幌市中央区北3条西6丁目,http://www.pref.hokkaido.lg.jp/hf/kth/kak/singatakoronahaien.htm#相談窓口,
北海道,Hokkaido,江別保健所,Ebetsu Hokenjo,011-383-2111,Japanese,Weekdays 8:45-17:30,060-8595,札幌市中央区北3条西6丁目,http://www.pref.hokkaido.lg.jp/hf/kth/kak/singatakoronahaien.htm#相談窓口,
北海道,Hokkaido,千歳保健所,Chitose Hokenjo,0123-23-3175,Japanese,Weekdays 8:45-17:30,060-8596,札幌市中央区北3条西6丁目,http://www.pref.hokkaido.lg.jp/hf/kth/kak/singatakoronahaien.htm#相談窓口,
北海道,Hokkaido,倶知安保健所,Kucchan Hokenjo,0136-23-1957,Japanese,Weekdays 8:45-17:30,060-8597,札幌市中央区北3条西6丁目,http://www.pref.hokkaido.lg.jp/hf/kth/kak/singatakoronahaien.htm#相談窓口,
北海道,Hokkaido,岩内保健所,Iwanai Hokenjo,0135-62-1537,Japanese,Weekdays 8:45-17:30,060-8598,札幌市中央区北3条西6丁目,http://www.pref.hokkaido.lg.jp/hf/kth/kak/singatakoronahaien.htm#相談窓口,
北海道,Hokkaido,岩見沢保健所,Iwamizawa Hokenjo,0126-20-0122,Japanese,Weekdays 8:45-17:30,060-8599,札幌市中央区北3条西6丁目,http://www.pref.hokkaido.lg.jp/hf/kth/kak/singatakoronahaien.htm#相談窓口,
北海道,Hokkaido,滝川保健所,Takigawa Hokenjo,0125-24-6201,Japanese,Weekdays 8:45-17:30,060-8600,札幌市中央区北3条西6丁目,http://www.pref.hokkaido.lg.jp/hf/kth/kak/singatakoronahaien.htm#相談窓口,
北海道,Hokkaido,深川保健所,Fukagawa Hokenjo,0164-22-1421,Japanese,Weekdays 8:45-17:30,060-8601,札幌市中央区北3条西6丁目,http://www.pref.hokkaido.lg.jp/hf/kth/kak/singatakoronahaien.htm#相談窓口,
北海道,Hokkaido,上川保健所,Kamikawa Hokenjo,0166-46-5992,Japanese,Weekdays 8:45-17:30,060-8602,札幌市中央区北3条西6丁目,http://www.pref.hokkaido.lg.jp/hf/kth/kak/singatakoronahaien.htm#相談窓口,
北海道,Hokkaido,名寄保健所,Nayoro Hokenjo,01654-3-3121,Japanese,Weekdays 8:45-17:30,060-8603,札幌市中央区北3条西6丁目,http://www.pref.hokkaido.lg.jp/hf/kth/kak/singatakoronahaien.htm#相談窓口,
北海道,Hokkaido,富良野保健所,Furano Hokenjo,0167-23-3161,Japanese,Weekdays 8:45-17:30,060-8604,札幌市中央区北3条西6丁目,http://www.pref.hokkaido.lg.jp/hf/kth/kak/singatakoronahaien.htm#相談窓口,
北海道,Hokkaido,留萌保健所,Rumoi Hokenjo,0164-42-8327,Japanese,Weekdays 8:45-17:30,060-8605,札幌市中央区北3条西6丁目,http://www.pref.hokkaido.lg.jp/hf/kth/kak/singatakoronahaien.htm#相談窓口,
北海道,Hokkaido,稚内保健所,Wakkanai Hokenjo,0162-33-3703,Japanese,Weekdays 8:45-17:30,060-8606,札幌市中央区北3条西6丁目,http://www.pref.hokkaido.lg.jp/hf/kth/kak/singatakoronahaien.htm#相談窓口,
北海道,Hokkaido,浜頓別支所,Hamatonbetsu Shisho,01634-2-0190,Japanese,Weekdays 8:45-17:30,060-8607,札幌市中央区北3条西6丁目,http://www.pref.hokkaido.lg.jp/hf/kth/kak/singatakoronahaien.htm#相談窓口,
北海道,Hokkaido,利尻支所,Rishiri Shisho,0163-84-2247,Japanese,Weekdays 8:45-17:30,060-8608,札幌市中央区北3条西6丁目,http://www.pref.hokkaido.lg.jp/hf/kth/kak/singatakoronahaien.htm#相談窓口,
北海道,Hokkaido,網走保健所,Abashiri Hokenjo,0152-41-0683,Japanese,Weekdays 8:45-17:30,060-8607,札幌市中央区北3条西6丁目,http://www.pref.hokkaido.lg.jp/hf/kth/kak/singatakoronahaien.htm#相談窓口,
北海道,Hokkaido,北見保健所,Kitami Hokenjo,0157-24-4171,Japanese,Weekdays 8:45-17:30,060-8608,札幌市中央区北3条西6丁目,http://www.pref.hokkaido.lg.jp/hf/kth/kak/singatakoronahaien.htm#相談窓口,
北海道,Hokkaido,紋別保健所,Monbetsu Hokenjo,0158-23-3108,Japanese,Weekdays 8:45-17:30,060-8609,札幌市中央区北3条西6丁目,http://www.pref.hokkaido.lg.jp/hf/kth/kak/singatakoronahaien.htm#相談窓口,
北海道,Hokkaido,室蘭保健所,Muroran Hokenjo,0143-24-9833,Japanese,Weekdays 8:45-17:30,060-8610,札幌市中央区北3条西6丁目,http://www.pref.hokkaido.lg.jp/hf/kth/kak/singatakoronahaien.htm#相談窓口,
北海道,Hokkaido,苫小牧保健所,Tomakomai Hokenjo,0144-34-4168,Japanese,Weekdays 8:45-17:30,060-8611,札幌市中央区北3条西6丁目,http://www.pref.hokkaido.lg.jp/hf/kth/kak/singatakoronahaien.htm#相談窓口,
北海道,Hokkaido,浦川保健所,Urakawa Hokenjo,0146-22-3071,Japanese,Weekdays 8:45-17:30,060-8612,札幌市中央区北3条西6丁目,http://www.pref.hokkaido.lg.jp/hf/kth/kak/singatakoronahaien.htm#相談窓口,
北海道,Hokkaido,静内保健所,Shizunai Hokenjo,0146-42-0251,Japanese,Weekdays 8:45-17:30,060-8613,札幌市中央区北3条西6丁目,http://www.pref.hokkaido.lg.jp/hf/kth/kak/singatakoronahaien.htm#相談窓口,
北海道,Hokkaido,帯広保健所,Obihiro Hokenjo,0155-26-9084,Japanese,Weekdays 8:45-17:30,060-8614,札幌市中央区北3条西6丁目,http://www.pref.hokkaido.lg.jp/hf/kth/kak/singatakoronahaien.htm#相談窓口,
北海道,Hokkaido,釧路保健所,Kushiro Hokenjo,0154-65-5811,Japanese,Weekdays 8:45-17:30,060-8615,札幌市中央区北3条西6丁目,http://www.pref.hokkaido.lg.jp/hf/kth/kak/singatakoronahaien.htm#相談窓口,
北海道,Hokkaido,根室保健所,Nemuro Hokenjo,0153-23-5161,Japanese,Weekdays 8:45-17:30,060-8616,札幌市中央区北3条西6丁目,http://www.pref.hokkaido.lg.jp/hf/kth/kak/singatakoronahaien.htm#相談窓口,
北海道,Hokkaido,中標津保健所,Nakashibetsu Hokenjo,0153-72-2168,Japanese,Weekdays 8:45-17:30,060-8617,札幌市中央区北3条西6丁目,http://www.pref.hokkaido.lg.jp/hf/kth/kak/singatakoronahaien.htm#相談窓口,
北海道,Hokkaido,北海道保健福祉部,Hokkaidou Hoken Fukushi Bu,011-204-5020,Japanese,Every day 24 hours,060-8618,札幌市中央区北3条西6丁目,http://www.pref.hokkaido.lg.jp/hf/kth/kak/singatakoronahaien.htm#相談窓口,
青森県,Aomori,青森市保健所,Aomori Shi Hokenjo,017-765-5280,Japanese,Weekdays 8:30-17:00,030-0962,青森市佃二丁目19-13,https://www.pref.aomori.lg.jp/welfare/health/wuhan-novel-coronavirus2020.html,
青森県,Aomori,東地方保健所,Higashi Chihou Hokenjo,017-739-5421,Japanese,Weekdays 8:30-17:00,030-0963,青森市佃二丁目19-14,https://www.pref.aomori.lg.jp/welfare/health/wuhan-novel-coronavirus2020.html,
青森県,Aomori,弘前保健所,Hirosaki Hokenjo,0172-33-8521,Japanese,Weekdays 8:30-17:00,030-0964,青森市佃二丁目19-15,https://www.pref.aomori.lg.jp/welfare/health/wuhan-novel-coronavirus2020.html,
青森県,Aomori,三戸地方保健所,Sannohe Chihou Hokenjo,0178-27-5111,Japanese,Weekdays 8:30-17:00,030-0965,青森市佃二丁目19-16,https://www.pref.aomori.lg.jp/welfare/health/wuhan-novel-coronavirus2020.html,
