都道府県,Prefecture,センター名,Center Name,"Phone number
電話番号","Supported Languages
対応言語","Open Hours
対応時間","Postal code
郵便番号","Address
住所","Homepage
ホームページ","Comments
コメント"
愛知県,Aichi,多言語コールセンター,Aichi Multilingual Call Center,https://aichi.livecall.jp/en/ipCC/,"English, Chinese, Korean, Thai, Vietnamese, Tagalog, Spanish, Portuguese, French",Every day 24 hours,460-8501,名古屋市中区三の丸三丁目1番2号,https://www.aichi-now.jp/en/news/detail/779/,
愛知県,Aichi,訪日外国人旅行者向けコールセンター,Multilingual Tourist Hotline,050-3816-2787,"English, Chinese, Korean, Japanese",Every day 24 hours,,,https://www.mlit.go.jp/kankocho/content/001327108.pdf,
三重県,Mie,訪日外国人旅行者向けコールセンター,Multilingual Tourist Hotline,050-3816-2787,"English, Chinese, Korean, Japanese",Every day 24 hours,514-8570,津市広明町13番地,https://www.mlit.go.jp/kankocho/content/001327108.pdf,
滋賀県,Shiga,訪日外国人旅行者向けコールセンター,Multilingual Tourist Hotline,050-3816-2787,"English, Chinese, Korean, Japanese",Every day 24 hours,520-8577,滋賀県大津市京町四丁目1番1号,https://www.mlit.go.jp/kankocho/content/001327108.pdf,
京都府,Kyoto,多言語コールセンター,Prefectural Consultation Service,075-414-4726,"English, Chinese, Korean, Portuguese, Spanish, Vietnamese",Every day 24 hours,602-8570,京都市上京区下立売通新町西入薮ノ内町,http://www.pref.kyoto.jp/kokusai/coronavirus_update.html,
京都府,Kyoto,訪日外国人旅行者向けコールセンター,Multilingual Tourist Hotline,050-3816-2787,"English, Chinese, Korean, Japanese",Every day 24 hours,,,https://www.mlit.go.jp/kankocho/content/001327108.pdf,
大阪府,Osaka,府内在住外国人向け相談窓口,Prefectural Consultation Service,06-6941-2297,"English, Chinese, Korean, Portuguese, Spanish, Vietnamese, Tagalog, Thai, Indonesia, Nepali, Japanese","Monday and Friday 9:00-20:00
Tuesday, Wednesday, Thursday 9:00-17:30",540-8570,大阪市中央区大手前2丁目,http://www.pref.osaka.lg.jp/kanko/coronavirus/index.html,
大阪府,Osaka,訪日外国人旅行者向けコールセンター,Multilingual Tourist Hotline,050-3816-2787,"English, Chinese, Korean, Japanese",Every day 24 hours,,,https://www.mlit.go.jp/kankocho/content/001327108.pdf,
兵庫県,Hyogo,訪日外国人旅行者向けコールセンター,Multilingual Tourist Hotline,050-3816-2787,"English, Chinese, Korean, Japanese",Every day 24 hours,650-8567,兵庫県神戸市中央区下山手通5丁目10番1号,https://www.mlit.go.jp/kankocho/content/001327108.pdf,
奈良県,Nara,訪日外国人旅行者向けコールセンター,Multilingual Tourist Hotline,050-3816-2787,"English, Chinese, Korean, Japanese",Every day 24 hours,630-8501,奈良市登大路町30,http://www.pref.nara.jp/secure/222718/0402eiglish.pdf,
和歌山県,Wakayama,訪日外国人旅行者向けコールセンター,Multilingual Tourist Hotline,050-3816-2787,"English, Chinese, Korean, Japanese",Every day 24 hours,640-8585,和歌山市小松原通一丁目1番地,https://www.mlit.go.jp/kankocho/content/001327108.pdf,
鳥取県,Tottori,訪日外国人旅行者向けコールセンター,Multilingual Tourist Hotline,050-3816-2787,"English, Chinese, Korean, Japanese",Every day 24 hours,680-8570,鳥取県鳥取市東町1丁目220,https://www.mlit.go.jp/kankocho/content/001327108.pdf,
島根県,Shimane,訪日外国人旅行者向けコールセンター,Multilingual Tourist Hotline,050-3816-2787,"English, Chinese, Korean, Japanese",Every day 24 hours,690-8501,島根県松江市殿町1番地,https://www.mlit.go.jp/kankocho/content/001327108.pdf,
岡山県,Okayama,訪日外国人旅行者向けコールセンター,Multilingual Tourist Hotline,050-3816-2787,"English, Chinese, Korean, Japanese",Every day 24 hours,700-8570,岡山市北区内山下二丁目4番6号,https://www.mlit.go.jp/kankocho/content/001327108.pdf,
広島県,Hiroshima,訪日外国人旅行者向けコールセンター,Multilingual Tourist Hotline,050-3816-2787,"English, Chinese, Korean, Japanese",Every day 24 hours,730-8511,広島県広島市中区基町10-52,https://www.mlit.go.jp/kankocho/content/001327108.pdf,
山口県,Yamaguchi,柳井健康福祉センター,Yanai Health and Welfare Center,0820-22-3631,"Japanese, English, Chinese",Weekdays 9:00-17:00,753-8501,山口県山口市滝町1番1号,https://www.pref.yamaguchi.lg.jp/cmsdata/7/4/7/747e45223896b7978bada9921f431e48.pdf,
山口県,Yamaguchi,周南健康福祉センター,Shunan Health and Welfare Center,0834-33-6423,"Japanese, English, Chinese",Weekdays 9:00-17:00,753-8502,山口県山口市滝町1番1号,https://www.pref.yamaguchi.lg.jp/cmsdata/7/4/7/747e45223896b7978bada9921f431e48.pdf,
山口県,Yamaguchi,山口健康福祉センター,Yamaguchi Health Center,083-934-2533,"Japanese, English, Chinese",Weekdays 9:00-17:00,753-8503,山口県山口市滝町1番1号,https://www.pref.yamaguchi.lg.jp/cmsdata/7/4/7/747e45223896b7978bada9921f431e48.pdf,
山口県,Yamaguchi,山口健康福祉センター,Yamaguchi Health and Welfare Center,083-934-2533,"Japanese, English, Chinese",Weekdays 9:00-17:00,753-8504,山口県山口市滝町1番1号,https://www.pref.yamaguchi.lg.jp/cmsdata/7/4/7/747e45223896b7978bada9921f431e48.pdf,
山口県,Yamaguchi,山口健康福祉センター 防府支所,Yamaguchi Health and Welfare Center Hofu Branch,0835-22-3740,"Japanese, English, Chinese",Weekdays 9:00-17:00,753-8505,山口県山口市滝町1番1号,https://www.pref.yamaguchi.lg.jp/cmsdata/7/4/7/747e45223896b7978bada9921f431e48.pdf,
山口県,Yamaguchi,宇部健康福祉センター,Ube Health and Welfare Center,0836-31-3203,"Japanese, English, Chinese",Weekdays 9:00-17:00,753-8506,山口県山口市滝町1番1号,https://www.pref.yamaguchi.lg.jp/cmsdata/7/4/7/747e45223896b7978bada9921f431e48.pdf,
山口県,Yamaguchi,長門健康福祉センター,Nagato Health and Welfare Center,0837-22-2811,"Japanese, English, Chinese",Weekdays 9:00-17:00,753-8507,山口県山口市滝町1番1号,https://www.pref.yamaguchi.lg.jp/cmsdata/7/4/7/747e45223896b7978bada9921f431e48.pdf,
山口県,Yamaguchi,萩健康福祉センター,Hagi Health and Welfare Center,0838-25-2667,"Japanese, English, Chinese",Weekdays 9:00-17:00,753-8508,山口県山口市滝町1番1号,https://www.pref.yamaguchi.lg.jp/cmsdata/7/4/7/747e45223896b7978bada9921f431e48.pdf,
山口県,Yamaguchi,下関市立下関保健所,Shimonoseki City Shimonoseki Public Health Center,083-250-7778,"Japanese, English, Chinese","Weekends, Holidays 9:00-17:00",753-8509,山口県山口市滝町1番1号,https://www.pref.yamaguchi.lg.jp/cmsdata/7/4/7/747e45223896b7978bada9921f431e48.pdf,
山口県,Yamaguchi,保健所健康増進課,Prefectural Health Promotion Division,083-933-3502,"Japanese, English, Chinese","Weekends, Holidays 9:00-17:00",753-8510,山口県山口市滝町1番1号,https://www.pref.yamaguchi.lg.jp/cmsdata/7/4/7/747e45223896b7978bada9921f431e48.pdf,
山口県,Yamaguchi,訪日外国人旅行者向けコールセンター,Multilingual Tourist Hotline,050-3816-2787,"English, Chinese, Korean, Japanese",Every day 24 hours,,,https://www.mlit.go.jp/kankocho/content/001327108.pdf,
徳島県,Tokushima,訪日外国人旅行者向けコールセンター,Multilingual Tourist Hotline,050-3816-2787,"English, Chinese, Korean, Japanese",Every day 24 hours,770-8570,徳島県徳島市万代町1丁目1番地,https://www.mlit.go.jp/kankocho/content/001327108.pdf,
香川県,Kagawa,訪日外国人旅行者向けコールセンター,Multilingual Tourist Hotline,050-3816-2787,"English, Chinese, Korean, Japanese",Every day 24 hours,760-8570,香川県高松市番町四丁目1番10号,https://www.mlit.go.jp/kankocho/content/001327108.pdf,
愛媛県,Ehime,外国人相談窓口,Prefectural Consultation Service,089-909-3483,"English, Japanese",Every day 24 hours,790-8570,松山市一番町4-4-2,http://www.epic.or.jp/news_and_topics/wp-content/uploads/2020/03/Information-Regarding-the-new-strain-of-Coronavirus_0203010.pdf,
愛媛県,Ehime,訪日外国人旅行者向けコールセンター,Multilingual Tourist Hotline,050-3816-2787,"English, Chinese, Korean, Japanese",Every day 24 hours,,,https://www.mlit.go.jp/kankocho/content/001327108.pdf,
高知県,Kochi,訪日外国人旅行者向けコールセンター,Multilingual Tourist Hotline,050-3816-2787,"English, Chinese, Korean, Japanese",Every day 24 hours,780-8570,高知県高知市丸ノ内1丁目2番20号,https://www.mlit.go.jp/kankocho/content/001327108.pdf,
福岡県,Fukuoka,訪日外国人旅行者向けコールセンター,Multilingual Tourist Hotline,050-3816-2787,"English, Chinese, Korean, Japanese",Every day 24 hours,812-8577,福岡県福岡市博多区東公園7番7号,https://www.mlit.go.jp/kankocho/content/001327108.pdf,
佐賀県,Saga,佐賀県外国人相談窓口,Multilingual Tourist Hotline,092-687-5535,"English, Chinese, Korean, Vietnames, Tagalog, Portuguese, Spanish, Nepali, Thai, Sinhala, Tamil, Indonesia, French, Russian, Italy, German",Every day 24 hours,840-8570,佐賀市城内1丁目1-59,https://www.pref.saga.lg.jp/kiji00373208/3_73208_161422_up_lz11xxsz.pdf,
佐賀県,Saga,訪日外国人旅行者向けコールセンター,Multilingual Tourist Hotline,050-3816-2787,"English, Chinese, Korean, Japanese",Every day 24 hours,,,https://www.mlit.go.jp/kankocho/content/001327108.pdf,
長崎県,Nagasaki,長崎県外国人相談窓口,Prefectural Consultation Service,095-820-3377,"English, Chinese, Korean, Vietnames, Tagalog, Portuguese, Spanish, Nepali, Thai, Sinhala, Tamil, Indonesia, French, Russian, Italy, German",Monday-Saturday 9:00-17:00,850-8570,長崎市尾上町3-1,https://www.pref.nagasaki.jp/bunrui/hukushi-hoken/kansensho/corona_nagasaki/corona_nagasaki_shousai/#gaikokugo,
長崎県,Nagasaki,訪日外国人旅行者向けコールセンター,Multilingual Tourist Hotline,050-3816-2787,"English, Chinese, Korean, Japanese",Every day 24 hours,,,https://www.mlit.go.jp/kankocho/content/001327108.pdf,
熊本県,Kumamoto,訪日外国人旅行者向けコールセンター,Multilingual Tourist Hotline,050-3816-2787,"English, Chinese, Korean, Japanese",Every day 24 hours,862-8570,熊本県熊本市中央区水前寺6丁目18番1号,http://www.kuma-koku.jp/support-center/page156.html?type=top,
大分県,Oita,訪日外国人旅行者向けコールセンター,Multilingual Tourist Hotline,050-3816-2787,"English, Chinese, Korean, Japanese",Every day 24 hours,870-8501,大分市大手町3丁目1-1,https://www.mlit.go.jp/kankocho/content/001327108.pdf,
宮崎県,Miyazaki,訪日外国人旅行者向けコールセンター,Multilingual Tourist Hotline,050-3816-2787,"English, Chinese, Korean, Japanese",Every day 24 hours,880-8501,宮崎県宮崎市橘通東2丁目10番1号,https://www.mlit.go.jp/kankocho/content/001327108.pdf,
鹿児島県,Kagoshima,外国人相談窓口,Prefectural Consultation Service,070-7662-4541,"English, Vietnamese, Japanese",Tuesday-Sunday 9:00-17:00,892-8677,鹿児島市山下町11番1号,https://www.pref.kagoshima.jp/af21/soudan.html,
鹿児島県,Kagoshima,訪日外国人旅行者向けコールセンター,Multilingual Tourist Hotline,050-3816-2787,"English, Chinese, Korean, Japanese",Every day 24 hours,,,https://www.mlit.go.jp/kankocho/content/001327108.pdf,
沖縄県,Okinawa,訪日外国人旅行者向けコールセンター,Multilingual Tourist Hotline,050-3816-2787,"English, Chinese, Korean, Japanese",Every day 24 hours,900-8585,沖縄県那覇市泉崎1丁目1番1号,https://www.mlit.go.jp/kankocho/content/001327108.pdf,
